ITEM,ITEM,deni
,,3
bewar,bewar,1
would,would,1
deni,deni,10
access,access,1
inform,inform,1
heart,heart,1
dream,dream,1
master,master,1
sigh,sigh,1
peopl,peopl,4
insist,insist,1
realiti,realiti,2
cost,cost,1
surpris,surpris,1
laugh,laugh,2
climat,climat,6
chang,chang,6
pr,pr,1
term,term,1
cant,cant,1
switch,switch,1
global,global,1
warm,warm,1
becam,becam,1
happen,happen,1
debat,debat,1
much,much,1
right,right,1
wing,wing,1
person,person,1
stupid,stupid,1
enough,enough,3
arrog,arrog,1
think,think,2
bad,bad,1
outright,outright,1
pollut,pollut,1
around,around,1
globe,globe,1
convers,convers,1
sure,sure,2
shit,shit,2
beat,beat,2
activ,activ,2
dismantl,dismantl,2
effort,effort,2
combat,combat,2
fuck,fuck,1
kind,kind,1
life,life,1
live,live,1
exxon,exxon,2
mobil,mobil,2
went,went,1
time,time,1
rais,rais,1
shore,shore,1
platform,platform,1
account,account,1
